70.4,83.3,42.4
73.6,68.2,51.9
60.7,68.4,90
90,51.5,90
72.3,64.4,72.1
63,63.8,79.9
52.9,72.2,81.3
69.9,75.3,72.3
62,67.9,57.1
73.9,53.5,54.3
56.9,35.6,79.4
68.3,57.5,78.7
47.9,64,62.6
68.2,68.1,56.4
64.7,63.4,71.3
75.9,76.1,56.4
65.8,52.9,53.9
64.9,80.3,57.3
68.7,62.7,76.2
54.1,65.3,70.5
76,80.4,65.9
50.1,57.6,54.4
88.5,58.8,72.5
63.1,73.9,57.4
51,50.8,69.9
63.2,63,79.2
67.9,67,80.9
57,72,73.4
62.6,67.2,53.3
53.5,66,72.2
90,58.3,66.9
64.2,45.7,60.6
47.1,73.4,56.1
66,59.6,68
59,69.9,72.4
82.1,63.1,43.6
56.6,78.5,54.3
74.6,66.2,79.4
45.4,63,52.9
54.4,60.3,62.3
76,62.2,72
44.5,61.5,56.8
49.2,70.1,67.8
65.3,51.7,76.3
68.5,62,65.2
62.4,47.5,62.1
56.7,55.2,53.4
59.7,45,74.6
70.2,64.8,64.7
57,75.2,63.7
